trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.85, 'e': 0.10361784950198194}",20,9,-1.9298022815204068,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.85, 'e': 0.10206358175945221}",20,10,6.056686022377145,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.85, 'e': 0.10053262803306043}",25,3,32.10692485104301,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.85, 'e': 0.09902463861256453}",20,16,5.4556485206220175,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.85, 'e': 0.09753926903337605}",20,4,-17.580035525031402,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.85, 'e': 0.09607617999787542}",35,5,16.129519105853007,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.85, 'e': 0.09463503729790727}",25,15,8.175770692968017,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.85, 'e': 0.09321551173843867}",20,12,18.00246077254068,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.85, 'e': 0.09181727906236209}",20,0,5.8795752557341165,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.85, 'e': 0.09044001987642665}",25,15,17.056780516353157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.85, 'e': 0.08908341957828025}",25,16,17.929978815301915,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.85, 'e': 0.08774716828460605}",20,3,15.668929405758062,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.85, 'e': 0.08643096076033696}",20,16,6.319180306154103,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.85, 'e': 0.0851344963489319}",25,19,11.266766002627728,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.85, 'e': 0.08385747890369792}",20,14,11.739780019092269,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.85, 'e': 0.08259961672014245}",25,20,8.698419381970165,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.85, 'e': 0.08136062246934031}",25,20,9.008543736659414,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.85, 'e': 0.08014021313230021}",30,12,16.947304262495972,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.85, 'e': 0.0789381099353157}",20,16,7.31455971843431,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.85, 'e': 0.07775403828628596}",20,2,30.25263723048401,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.85, 'e': 0.07658772771199168}",30,0,34.171871190459136,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.85, 'e': 0.0754389117963118}",30,19,19.41313343505816,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.85, 'e': 0.07430732811936712}",30,4,33.38748979180157,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.85, 'e': 0.07319271819757661}",30,16,8.000616973892424,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
